A/D | analogue to digital
i.a.w | in accordance with
i.d. | inside diameter
inc | increment
ft | ranging tone frequency
ksps | kilo symbol per second
lH | high wavelength limit
lL | low wavelength limit
lx | lux
m/z | ratio mass to charge
mg | milligram
nT | nano-Tesla
o.d. | outside diameter
n.a. | not applicable
ppm | part per million
pH | hydrogen-ion concentration
ppmv | parts per million volumetric
rDNA | Ribosomal DNA
sec | seconds
sfu | solar flux unit
sq | square
°C | degree Celsius
w.r.t. | with respect to
r.m.s. | root-mean-square
sps | symbol per second
